# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYH0_09_UK1
# sample_count: 864
# sample_rate_hz: 0.01
# start_time: 2018-12-16T00:01:06.789000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-12-16T00:01:06.789000Z, 19906
2018-12-16T00:02:46.789000Z, 19890
2018-12-16T00:04:26.789000Z, 19874
2018-12-16T00:06:06.789000Z, 19858
2018-12-16T00:07:46.789000Z, 19842
2018-12-16T00:09:26.789000Z, 19826
2018-12-16T00:11:06.789000Z, 19810
2018-12-16T00:12:46.789000Z, 19794
2018-12-16T00:14:26.789000Z, 19778
2018-12-16T00:16:06.789000Z, 19762
2018-12-16T00:17:46.789000Z, 19746
2018-12-16T00:19:26.789000Z, 19730
2018-12-16T00:21:06.789000Z, 19714
2018-12-16T00:22:46.789000Z, 19698
2018-12-16T00:24:26.789000Z, 19681
2018-12-16T00:26:06.789000Z, 19666
2018-12-16T00:27:46.789000Z, 19650
2018-12-16T00:29:26.789000Z, 19633
2018-12-16T00:31:06.789000Z, 19617
2018-12-16T00:32:46.789000Z, 19601
2018-12-16T00:34:26.789000Z, 19586
2018-12-16T00:36:06.789000Z, 19570
2018-12-16T00:37:46.789000Z, 19553
2018-12-16T00:39:26.789000Z, 19538
2018-12-16T00:41:06.789000Z, 19522
2018-12-16T00:42:46.789000Z, 19506
2018-12-16T00:44:26.789000Z, 19490
2018-12-16T00:46:06.789000Z, 19474
2018-12-16T00:47:46.789000Z, 19459
2018-12-16T00:49:26.789000Z, 19447
2018-12-16T00:51:06.789000Z, 19426
2018-12-16T00:52:46.789000Z, 19414
2018-12-16T00:54:26.789000Z, 19410
2018-12-16T00:56:06.789000Z, 19394
2018-12-16T00:57:46.789000Z, 19378
2018-12-16T00:59:26.789000Z, 19363
2018-12-16T01:01:06.789000Z, 19351
2018-12-16T01:02:46.789000Z, 19346
2018-12-16T01:04:26.789000Z, 19330
2018-12-16T01:06:06.789000Z, 19314
2018-12-16T01:07:46.789000Z, 19313
2018-12-16T01:09:26.789000Z, 19298
2018-12-16T01:11:06.789000Z, 19285
2018-12-16T01:12:46.789000Z, 19282
2018-12-16T01:14:26.789000Z, 19268
2018-12-16T01:16:06.789000Z, 19266
2018-12-16T01:17:46.789000Z, 19252
2018-12-16T01:19:26.789000Z, 19250
2018-12-16T01:21:06.789000Z, 19238
2018-12-16T01:22:46.789000Z, 19234
2018-12-16T01:24:26.789000Z, 19234
2018-12-16T01:26:06.789000Z, 19225
2018-12-16T01:27:46.789000Z, 19221
2018-12-16T01:29:26.789000Z, 19218
2018-12-16T01:31:06.789000Z, 19218
2018-12-16T01:32:46.789000Z, 19218
2018-12-16T01:34:26.789000Z, 19218
2018-12-16T01:36:06.789000Z, 19218
2018-12-16T01:37:46.789000Z, 19218
2018-12-16T01:39:26.789000Z, 19218
2018-12-16T01:41:06.789000Z, 19218
2018-12-16T01:42:46.789000Z, 19218
2018-12-16T01:44:26.789000Z, 19222
2018-12-16T01:46:06.789000Z, 19230
2018-12-16T01:47:46.789000Z, 19234
2018-12-16T01:49:26.789000Z, 19238
2018-12-16T01:51:06.789000Z, 19250
2018-12-16T01:52:46.789000Z, 19252
2018-12-16T01:54:26.789000Z, 19266
2018-12-16T01:56:06.789000Z, 19282
2018-12-16T01:57:46.789000Z, 19283
2018-12-16T01:59:26.789000Z, 19298
2018-12-16T02:01:06.789000Z, 19314
2018-12-16T02:02:46.789000Z, 19330
2018-12-16T02:04:26.789000Z, 19345
2018-12-16T02:06:06.789000Z, 19362
2018-12-16T02:07:46.789000Z, 19378
2018-12-16T02:09:26.789000Z, 19394
2018-12-16T02:11:06.789000Z, 19410
2018-12-16T02:12:46.789000Z, 19429
2018-12-16T02:14:26.789000Z, 19450
2018-12-16T02:16:06.789000Z, 19474
2018-12-16T02:17:46.789000Z, 19494
2018-12-16T02:19:26.789000Z, 19522
2018-12-16T02:21:06.789000Z, 19541
2018-12-16T02:22:46.789000Z, 19570
2018-12-16T02:24:26.789000Z, 19602
2018-12-16T02:26:06.789000Z, 19629
2018-12-16T02:27:46.789000Z, 19652
2018-12-16T02:29:26.789000Z, 19682
2018-12-16T02:31:06.789000Z, 19714
2018-12-16T02:32:46.789000Z, 19746
2018-12-16T02:34:26.789000Z, 19778
2018-12-16T02:36:06.789000Z, 19812
2018-12-16T02:37:46.789000Z, 19844
2018-12-16T02:39:26.789000Z, 19890
2018-12-16T02:41:06.789000Z, 19922
2018-12-16T02:42:46.789000Z, 19954
2018-12-16T02:44:26.789000Z, 19989
2018-12-16T02:46:06.789000Z, 20034
2018-12-16T02:47:46.789000Z, 20073
2018-12-16T02:49:26.789000Z, 20114
2018-12-16T02:51:06.789000Z, 20162
2018-12-16T02:52:46.789000Z, 20197
2018-12-16T02:54:26.789000Z, 20242
2018-12-16T02:56:06.789000Z, 20290
2018-12-16T02:57:46.789000Z, 20338
2018-12-16T02:59:26.789000Z, 20385
2018-12-16T03:01:06.789000Z, 20434
2018-12-16T03:02:46.789000Z, 20476
2018-12-16T03:04:26.789000Z, 20530
2018-12-16T03:06:06.789000Z, 20578
2018-12-16T03:07:46.789000Z, 20626
2018-12-16T03:09:26.789000Z, 20677
2018-12-16T03:11:06.789000Z, 20730
2018-12-16T03:12:46.789000Z, 20786
2018-12-16T03:14:26.789000Z, 20834
2018-12-16T03:16:06.789000Z, 20897
2018-12-16T03:17:46.789000Z, 20946
2018-12-16T03:19:26.789000Z, 21000
2018-12-16T03:21:06.789000Z, 21058
2018-12-16T03:22:46.789000Z, 21121
2018-12-16T03:24:26.789000Z, 21172
2018-12-16T03:26:06.789000Z, 21234
2018-12-16T03:27:46.789000Z, 21298
2018-12-16T03:29:26.789000Z, 21351
2018-12-16T03:31:06.789000Z, 21412
2018-12-16T03:32:46.789000Z, 21474
2018-12-16T03:34:26.789000Z, 21538
2018-12-16T03:36:06.789000Z, 21602
2018-12-16T03:37:46.789000Z, 21666
2018-12-16T03:39:26.789000Z, 21731
2018-12-16T03:41:06.789000Z, 21796
2018-12-16T03:42:46.789000Z, 21862
2018-12-16T03:44:26.789000Z, 21937
2018-12-16T03:46:06.789000Z, 22001
2018-12-16T03:47:46.789000Z, 22066
2018-12-16T03:49:26.789000Z, 22130
2018-12-16T03:51:06.789000Z, 22199
2018-12-16T03:52:46.789000Z, 22274
2018-12-16T03:54:26.789000Z, 22339
2018-12-16T03:56:06.789000Z, 22417
