# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYH0_25_VEV
# sample_count: 25
# sample_rate_hz: 0.25
# start_time: 2018-12-05T04:40:03.640000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-Voltage
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-12-05T04:40:03.640000Z, 34405
2018-12-05T04:40:07.640000Z, 34404
2018-12-05T04:40:11.640000Z, 34406
2018-12-05T04:40:15.640000Z, 34408
2018-12-05T04:40:19.640000Z, 34409
2018-12-05T04:40:23.640000Z, 34397
2018-12-05T04:40:27.640000Z, 34398
2018-12-05T04:40:31.640000Z, 34395
2018-12-05T04:40:35.640000Z, 34395
2018-12-05T04:40:39.640000Z, 34396
2018-12-05T04:40:43.640000Z, 34394
2018-12-05T04:40:47.640000Z, 34397
2018-12-05T04:40:51.640000Z, 34396
2018-12-05T04:40:55.640000Z, 34397
2018-12-05T04:40:59.640000Z, 34397
2018-12-05T04:41:03.640000Z, 34397
2018-12-05T04:41:07.640000Z, 34397
2018-12-05T04:41:11.640000Z, 34397
2018-12-05T04:41:15.640000Z, 34396
2018-12-05T04:41:19.640000Z, 34395
2018-12-05T04:41:23.640000Z, 34397
2018-12-05T04:41:27.640000Z, 34397
2018-12-05T04:41:31.640000Z, 34396
2018-12-05T04:41:35.640000Z, 34397
2018-12-05T04:41:39.640000Z, 34397
