# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYH0_33_UKA
# sample_count: 756
# sample_rate_hz: 0.01
# start_time: 2018-12-02T03:01:31.107000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-12-02T03:01:31.107000Z, 39951
2018-12-02T03:03:11.107000Z, 40002
2018-12-02T03:04:51.107000Z, 40045
2018-12-02T03:06:31.107000Z, 40080
2018-12-02T03:08:11.107000Z, 40109
2018-12-02T03:09:51.107000Z, 40130
2018-12-02T03:11:31.107000Z, 40162
2018-12-02T03:13:11.107000Z, 40192
2018-12-02T03:14:51.107000Z, 40210
2018-12-02T03:16:31.107000Z, 40242
2018-12-02T03:18:11.107000Z, 40258
2018-12-02T03:19:51.107000Z, 40290
2018-12-02T03:21:31.107000Z, 40306
2018-12-02T03:23:11.107000Z, 40337
2018-12-02T03:24:51.107000Z, 40354
2018-12-02T03:26:31.107000Z, 40385
2018-12-02T03:28:11.107000Z, 40402
2018-12-02T03:29:51.107000Z, 40418
2018-12-02T03:31:31.107000Z, 40435
2018-12-02T03:33:11.107000Z, 40465
2018-12-02T03:34:51.107000Z, 40482
2018-12-02T03:36:31.107000Z, 40498
2018-12-02T03:38:11.107000Z, 40528
2018-12-02T03:39:51.107000Z, 40546
2018-12-02T03:41:31.107000Z, 40562
2018-12-02T03:43:11.107000Z, 40578
2018-12-02T03:44:51.107000Z, 40609
2018-12-02T03:46:31.107000Z, 40626
2018-12-02T03:48:11.107000Z, 40642
2018-12-02T03:49:51.107000Z, 40658
2018-12-02T03:51:31.107000Z, 40680
2018-12-02T03:53:11.107000Z, 40705
2018-12-02T03:54:51.107000Z, 40722
2018-12-02T03:56:31.107000Z, 40738
2018-12-02T03:58:11.107000Z, 40754
2018-12-02T03:59:51.107000Z, 40771
2018-12-02T04:01:31.107000Z, 40800
2018-12-02T04:03:11.107000Z, 40817
2018-12-02T04:04:51.107000Z, 40833
2018-12-02T04:06:31.107000Z, 40850
2018-12-02T04:08:11.107000Z, 40866
2018-12-02T04:09:51.107000Z, 40882
2018-12-02T04:11:31.107000Z, 40898
2018-12-02T04:13:11.107000Z, 40918
2018-12-02T04:14:51.107000Z, 40942
2018-12-02T04:16:31.107000Z, 40950
2018-12-02T04:18:11.107000Z, 40962
2018-12-02T04:19:51.107000Z, 40978
2018-12-02T04:21:31.107000Z, 40994
2018-12-02T04:23:11.107000Z, 41010
2018-12-02T04:24:51.107000Z, 41025
2018-12-02T04:26:31.107000Z, 41041
2018-12-02T04:28:11.107000Z, 41044
2018-12-02T04:29:51.107000Z, 41058
2018-12-02T04:31:31.107000Z, 41073
2018-12-02T04:33:11.107000Z, 41089
2018-12-02T04:34:51.107000Z, 41090
2018-12-02T04:36:31.107000Z, 41106
2018-12-02T04:38:11.107000Z, 41121
2018-12-02T04:39:51.107000Z, 41122
2018-12-02T04:41:31.107000Z, 41137
2018-12-02T04:43:11.107000Z, 41138
2018-12-02T04:44:51.107000Z, 41153
2018-12-02T04:46:31.107000Z, 41154
2018-12-02T04:48:11.107000Z, 41159
2018-12-02T04:49:51.107000Z, 41170
2018-12-02T04:51:31.107000Z, 41170
2018-12-02T04:53:11.107000Z, 41170
2018-12-02T04:54:51.107000Z, 41185
2018-12-02T04:56:31.107000Z, 41186
2018-12-02T04:58:11.107000Z, 41186
2018-12-02T04:59:51.107000Z, 41196
2018-12-02T05:01:31.107000Z, 41201
2018-12-02T05:03:11.107000Z, 41202
2018-12-02T05:04:51.107000Z, 41202
2018-12-02T05:06:31.107000Z, 41202
2018-12-02T05:08:11.107000Z, 41216
2018-12-02T05:09:51.107000Z, 41217
2018-12-02T05:11:31.107000Z, 41218
2018-12-02T05:13:11.107000Z, 41218
2018-12-02T05:14:51.107000Z, 41218
2018-12-02T05:16:31.107000Z, 41219
2018-12-02T05:18:11.107000Z, 41228
2018-12-02T05:19:51.107000Z, 41232
2018-12-02T05:21:31.107000Z, 41233
2018-12-02T05:23:11.107000Z, 41233
2018-12-02T05:24:51.107000Z, 41233
2018-12-02T05:26:31.107000Z, 41233
2018-12-02T05:28:11.107000Z, 41233
2018-12-02T05:29:51.107000Z, 41233
2018-12-02T05:31:31.107000Z, 41233
2018-12-02T05:33:11.107000Z, 41233
2018-12-02T05:34:51.107000Z, 41233
2018-12-02T05:36:31.107000Z, 41233
2018-12-02T05:38:11.107000Z, 41227
2018-12-02T05:39:51.107000Z, 41219
2018-12-02T05:41:31.107000Z, 41218
2018-12-02T05:43:11.107000Z, 41218
