# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYH0_37_UKD
# sample_count: 739
# sample_rate_hz: 0.01
# start_time: 2018-12-04T00:01:30.817000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-12-04T00:01:30.817000Z, 41218
2018-12-04T00:03:10.817000Z, 41234
2018-12-04T00:04:50.817000Z, 41250
2018-12-04T00:06:30.817000Z, 41265
2018-12-04T00:08:10.817000Z, 41281
2018-12-04T00:09:50.817000Z, 41297
2018-12-04T00:11:30.817000Z, 41313
2018-12-04T00:13:10.817000Z, 41323
2018-12-04T00:14:50.817000Z, 41332
2018-12-04T00:16:30.817000Z, 41346
2018-12-04T00:18:10.817000Z, 41362
2018-12-04T00:19:50.817000Z, 41378
2018-12-04T00:21:30.817000Z, 41394
2018-12-04T00:23:10.817000Z, 41409
2018-12-04T00:24:50.817000Z, 41425
2018-12-04T00:26:30.817000Z, 41426
2018-12-04T00:28:10.817000Z, 41442
2018-12-04T00:29:50.817000Z, 41458
2018-12-04T00:31:30.817000Z, 41474
2018-12-04T00:33:10.817000Z, 41489
2018-12-04T00:34:50.817000Z, 41498
2018-12-04T00:36:30.817000Z, 41506
2018-12-04T00:38:10.817000Z, 41522
2018-12-04T00:39:50.817000Z, 41538
2018-12-04T00:41:30.817000Z, 41553
2018-12-04T00:43:10.817000Z, 41569
2018-12-04T00:44:50.817000Z, 41570
2018-12-04T00:46:30.817000Z, 41586
2018-12-04T00:48:10.817000Z, 41602
2018-12-04T00:49:50.817000Z, 41617
2018-12-04T00:51:30.817000Z, 41633
2018-12-04T00:53:10.817000Z, 41635
2018-12-04T00:54:50.817000Z, 41650
2018-12-04T00:56:30.817000Z, 41666
2018-12-04T00:58:10.817000Z, 41681
2018-12-04T00:59:50.817000Z, 41696
2018-12-04T01:01:30.817000Z, 41698
2018-12-04T01:03:10.817000Z, 41714
2018-12-04T01:04:50.817000Z, 41730
2018-12-04T01:06:30.817000Z, 41745
2018-12-04T01:08:10.817000Z, 41761
2018-12-04T01:09:50.817000Z, 41768
2018-12-04T01:11:30.817000Z, 41778
2018-12-04T01:13:10.817000Z, 41794
2018-12-04T01:14:50.817000Z, 41810
2018-12-04T01:16:30.817000Z, 41825
2018-12-04T01:18:10.817000Z, 41833
2018-12-04T01:19:50.817000Z, 41842
2018-12-04T01:21:30.817000Z, 41858
2018-12-04T01:23:10.817000Z, 41873
2018-12-04T01:24:50.817000Z, 41889
2018-12-04T01:26:30.817000Z, 41893
2018-12-04T01:28:10.817000Z, 41906
2018-12-04T01:29:50.817000Z, 41921
2018-12-04T01:31:30.817000Z, 41937
2018-12-04T01:33:10.817000Z, 41938
2018-12-04T01:34:50.817000Z, 41954
2018-12-04T01:36:30.817000Z, 41970
2018-12-04T01:38:10.817000Z, 41985
2018-12-04T01:39:50.817000Z, 41987
2018-12-04T01:41:30.817000Z, 42002
2018-12-04T01:43:10.817000Z, 42017
2018-12-04T01:44:50.817000Z, 42033
2018-12-04T01:46:30.817000Z, 42049
2018-12-04T01:48:10.817000Z, 42050
2018-12-04T01:49:50.817000Z, 42066
2018-12-04T01:51:30.817000Z, 42082
2018-12-04T01:53:10.817000Z, 42098
2018-12-04T01:54:50.817000Z, 42113
2018-12-04T01:56:30.817000Z, 42129
2018-12-04T01:58:10.817000Z, 42130
2018-12-04T01:59:50.817000Z, 42146
2018-12-04T02:01:30.817000Z, 42162
2018-12-04T02:03:10.817000Z, 42178
2018-12-04T02:04:50.817000Z, 42194
2018-12-04T02:06:30.817000Z, 42210
2018-12-04T02:08:10.817000Z, 42225
2018-12-04T02:09:50.817000Z, 42241
2018-12-04T02:11:30.817000Z, 42257
2018-12-04T02:13:10.817000Z, 42265
2018-12-04T02:14:50.817000Z, 42274
2018-12-04T02:16:30.817000Z, 42290
2018-12-04T02:18:10.817000Z, 42306
2018-12-04T02:19:50.817000Z, 42322
2018-12-04T02:21:30.817000Z, 42337
2018-12-04T02:23:10.817000Z, 42343
2018-12-04T02:24:50.817000Z, 42354
2018-12-04T02:26:30.817000Z, 42370
2018-12-04T02:28:10.817000Z, 42385
2018-12-04T02:29:50.817000Z, 42396
2018-12-04T02:31:30.817000Z, 42402
2018-12-04T02:33:10.817000Z, 42418
