# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_13_UK1
# sample_count: 669
# sample_rate_hz: 0.01
# start_time: 2019-01-01T00:01:04.569000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2019-01-01T00:01:04.569000Z, 30914
2019-01-01T00:02:44.569000Z, 30852
2019-01-01T00:04:24.569000Z, 30802
2019-01-01T00:06:04.569000Z, 30738
2019-01-01T00:07:44.569000Z, 30681
2019-01-01T00:09:24.569000Z, 30626
2019-01-01T00:11:04.569000Z, 30579
2019-01-01T00:12:44.569000Z, 30514
2019-01-01T00:14:24.569000Z, 30465
2019-01-01T00:16:04.569000Z, 30402
2019-01-01T00:17:44.569000Z, 30354
2019-01-01T00:19:24.569000Z, 30290
2019-01-01T00:21:04.569000Z, 30243
2019-01-01T00:22:44.569000Z, 30180
2019-01-01T00:24:24.569000Z, 30130
2019-01-01T00:26:04.569000Z, 30081
2019-01-01T00:27:44.569000Z, 30022
2019-01-01T00:29:24.569000Z, 29970
2019-01-01T00:31:04.569000Z, 29914
2019-01-01T00:32:44.569000Z, 29859
2019-01-01T00:34:24.569000Z, 29811
2019-01-01T00:36:04.569000Z, 29760
2019-01-01T00:37:44.569000Z, 29699
2019-01-01T00:39:24.569000Z, 29651
2019-01-01T00:41:04.569000Z, 29602
2019-01-01T00:42:44.569000Z, 29546
2019-01-01T00:44:24.569000Z, 29490
2019-01-01T00:46:04.569000Z, 29442
2019-01-01T00:47:44.569000Z, 29393
2019-01-01T00:49:24.569000Z, 29336
2019-01-01T00:51:04.569000Z, 29283
2019-01-01T00:52:44.569000Z, 29235
2019-01-01T00:54:24.569000Z, 29186
2019-01-01T00:56:04.569000Z, 29138
2019-01-01T00:57:44.569000Z, 29089
2019-01-01T00:59:24.569000Z, 29038
2019-01-01T01:01:04.569000Z, 28979
2019-01-01T01:02:44.569000Z, 28930
2019-01-01T01:04:24.569000Z, 28883
2019-01-01T01:06:04.569000Z, 28834
2019-01-01T01:07:44.569000Z, 28787
2019-01-01T01:09:24.569000Z, 28737
2019-01-01T01:11:04.569000Z, 28689
2019-01-01T01:12:44.569000Z, 28640
2019-01-01T01:14:24.569000Z, 28593
2019-01-01T01:16:04.569000Z, 28544
2019-01-01T01:17:44.569000Z, 28497
2019-01-01T01:19:24.569000Z, 28438
2019-01-01T01:21:04.569000Z, 28393
2019-01-01T01:22:44.569000Z, 28349
2019-01-01T01:24:24.569000Z, 28304
2019-01-01T01:26:04.569000Z, 28248
2019-01-01T01:27:44.569000Z, 28209
2019-01-01T01:29:24.569000Z, 28160
2019-01-01T01:31:04.569000Z, 28114
2019-01-01T01:32:44.569000Z, 28067
2019-01-01T01:34:24.569000Z, 28018
2019-01-01T01:36:04.569000Z, 27970
2019-01-01T01:37:44.569000Z, 27923
2019-01-01T01:39:24.569000Z, 27877
2019-01-01T01:41:04.569000Z, 27832
2019-01-01T01:42:44.569000Z, 27793
2019-01-01T01:44:24.569000Z, 27746
2019-01-01T01:46:04.569000Z, 27699
2019-01-01T01:47:44.569000Z, 27650
2019-01-01T01:49:24.569000Z, 27602
2019-01-01T01:51:04.569000Z, 27570
2019-01-01T01:52:44.569000Z, 27522
2019-01-01T01:54:24.569000Z, 27475
2019-01-01T01:56:04.569000Z, 27428
2019-01-01T01:57:44.569000Z, 27383
2019-01-01T01:59:24.569000Z, 27346
2019-01-01T02:01:04.569000Z, 27298
2019-01-01T02:02:44.569000Z, 27252
2019-01-01T02:04:24.569000Z, 27216
2019-01-01T02:06:04.569000Z, 27170
2019-01-01T02:07:44.569000Z, 27122
2019-01-01T02:09:24.569000Z, 27089
2019-01-01T02:11:04.569000Z, 27043
2019-01-01T02:12:44.569000Z, 26996
2019-01-01T02:14:24.569000Z, 26946
2019-01-01T02:16:04.569000Z, 26899
2019-01-01T02:17:44.569000Z, 26870
2019-01-01T02:19:24.569000Z, 26850
2019-01-01T02:21:04.569000Z, 26826
2019-01-01T02:22:44.569000Z, 26808
2019-01-01T02:24:24.569000Z, 26800
2019-01-01T02:26:04.569000Z, 26786
2019-01-01T02:27:44.569000Z, 26770
2019-01-01T02:29:24.569000Z, 26757
2019-01-01T02:31:04.569000Z, 26754
2019-01-01T02:32:44.569000Z, 26738
2019-01-01T02:34:24.569000Z, 26727
2019-01-01T02:36:04.569000Z, 26721
2019-01-01T02:37:44.569000Z, 26706
2019-01-01T02:39:24.569000Z, 26690
2019-01-01T02:41:04.569000Z, 26679
2019-01-01T02:42:44.569000Z, 26671
2019-01-01T02:44:24.569000Z, 26658
2019-01-01T02:46:04.569000Z, 26642
2019-01-01T02:47:44.569000Z, 26626
2019-01-01T02:49:24.569000Z, 26610
2019-01-01T02:51:04.569000Z, 26594
2019-01-01T02:52:44.569000Z, 26578
2019-01-01T02:54:24.569000Z, 26564
2019-01-01T02:56:04.569000Z, 26550
2019-01-01T02:57:44.569000Z, 26531
2019-01-01T02:59:24.569000Z, 26514
2019-01-01T03:01:04.569000Z, 26498
2019-01-01T03:02:44.569000Z, 26482
2019-01-01T03:04:24.569000Z, 26466
2019-01-01T03:06:04.569000Z, 26448
2019-01-01T03:07:44.569000Z, 26419
2019-01-01T03:09:24.569000Z, 26402
2019-01-01T03:11:04.569000Z, 26386
2019-01-01T03:12:44.569000Z, 26370
2019-01-01T03:14:24.569000Z, 26342
2019-01-01T03:16:04.569000Z, 26322
2019-01-01T03:17:44.569000Z, 26306
2019-01-01T03:19:24.569000Z, 26289
2019-01-01T03:21:04.569000Z, 26261
2019-01-01T03:22:44.569000Z, 26242
2019-01-01T03:24:24.569000Z, 26226
2019-01-01T03:26:04.569000Z, 26205
2019-01-01T03:27:44.569000Z, 26180
2019-01-01T03:29:24.569000Z, 26162
2019-01-01T03:31:04.569000Z, 26145
2019-01-01T03:32:44.569000Z, 26114
2019-01-01T03:34:24.569000Z, 26098
2019-01-01T03:36:04.569000Z, 26073
2019-01-01T03:37:44.569000Z, 26055
2019-01-01T03:39:24.569000Z, 26034
2019-01-01T03:41:04.569000Z, 26018
2019-01-01T03:42:44.569000Z, 25986
2019-01-01T03:44:24.569000Z, 25970
2019-01-01T03:46:04.569000Z, 25952
2019-01-01T03:47:44.569000Z, 25922
2019-01-01T03:49:24.569000Z, 25906
2019-01-01T03:51:04.569000Z, 25877
2019-01-01T03:52:44.569000Z, 25858
2019-01-01T03:54:24.569000Z, 25842
2019-01-01T03:56:04.569000Z, 25812
2019-01-01T03:57:44.569000Z, 25794
2019-01-01T03:59:24.569000Z, 25777
2019-01-01T04:01:04.569000Z, 25748
2019-01-01T04:02:44.569000Z, 25730
2019-01-01T04:04:24.569000Z, 25713
2019-01-01T04:06:04.569000Z, 25682
2019-01-01T04:07:44.569000Z, 25666
2019-01-01T04:09:24.569000Z, 25641
2019-01-01T04:11:04.569000Z, 25618
2019-01-01T04:12:44.569000Z, 25602
2019-01-01T04:14:24.569000Z, 25571
2019-01-01T04:16:04.569000Z, 25554
2019-01-01T04:17:44.569000Z, 25538
2019-01-01T04:19:24.569000Z, 25511
2019-01-01T04:21:04.569000Z, 25490
