# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_21_UEA
# sample_count: 669
# sample_rate_hz: 0.01
# start_time: 2019-01-01T00:01:04.569000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-Current
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2019-01-01T00:01:04.569000Z, 7368
2019-01-01T00:02:44.569000Z, 7381
2019-01-01T00:04:24.569000Z, 7367
2019-01-01T00:06:04.569000Z, 7371
2019-01-01T00:07:44.569000Z, 7370
2019-01-01T00:09:24.569000Z, 7380
2019-01-01T00:11:04.569000Z, 7369
2019-01-01T00:12:44.569000Z, 7381
2019-01-01T00:14:24.569000Z, 7369
2019-01-01T00:16:04.569000Z, 7370
2019-01-01T00:17:44.569000Z, 7368
2019-01-01T00:19:24.569000Z, 7382
2019-01-01T00:21:04.569000Z, 7379
2019-01-01T00:22:44.569000Z, 7366
2019-01-01T00:24:24.569000Z, 7380
2019-01-01T00:26:04.569000Z, 7379
2019-01-01T00:27:44.569000Z, 7377
2019-01-01T00:29:24.569000Z, 7363
2019-01-01T00:31:04.569000Z, 7379
2019-01-01T00:32:44.569000Z, 7361
2019-01-01T00:34:24.569000Z, 7360
2019-01-01T00:36:04.569000Z, 7361
2019-01-01T00:37:44.569000Z, 7358
2019-01-01T00:39:24.569000Z, 7376
2019-01-01T00:41:04.569000Z, 7359
2019-01-01T00:42:44.569000Z, 7362
2019-01-01T00:44:24.569000Z, 7373
2019-01-01T00:46:04.569000Z, 7365
2019-01-01T00:47:44.569000Z, 7359
2019-01-01T00:49:24.569000Z, 7360
2019-01-01T00:51:04.569000Z, 7360
2019-01-01T00:52:44.569000Z, 7373
2019-01-01T00:54:24.569000Z, 7372
2019-01-01T00:56:04.569000Z, 7355
2019-01-01T00:57:44.569000Z, 7371
2019-01-01T00:59:24.569000Z, 7371
2019-01-01T01:01:04.569000Z, 7356
2019-01-01T01:02:44.569000Z, 7364
2019-01-01T01:04:24.569000Z, 7355
2019-01-01T01:06:04.569000Z, 7370
2019-01-01T01:07:44.569000Z, 7365
2019-01-01T01:09:24.569000Z, 7357
2019-01-01T01:11:04.569000Z, 7354
2019-01-01T01:12:44.569000Z, 7366
2019-01-01T01:14:24.569000Z, 7352
2019-01-01T01:16:04.569000Z, 7368
2019-01-01T01:17:44.569000Z, 7351
2019-01-01T01:19:24.569000Z, 7362
2019-01-01T01:21:04.569000Z, 7365
2019-01-01T01:22:44.569000Z, 7350
2019-01-01T01:24:24.569000Z, 7362
