# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_37_UKD
# sample_count: 669
# sample_rate_hz: 0.01
# start_time: 2019-01-01T00:01:04.569000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2019-01-01T00:01:04.569000Z, 45490
2019-01-01T00:02:44.569000Z, 45491
2019-01-01T00:04:24.569000Z, 45487
2019-01-01T00:06:04.569000Z, 45474
2019-01-01T00:07:44.569000Z, 45474
2019-01-01T00:09:24.569000Z, 45459
2019-01-01T00:11:04.569000Z, 45459
2019-01-01T00:12:44.569000Z, 45453
2019-01-01T00:14:24.569000Z, 45442
2019-01-01T00:16:04.569000Z, 45436
2019-01-01T00:17:44.569000Z, 45426
2019-01-01T00:19:24.569000Z, 45420
2019-01-01T00:21:04.569000Z, 45411
2019-01-01T00:22:44.569000Z, 45399
2019-01-01T00:24:24.569000Z, 45394
2019-01-01T00:26:04.569000Z, 45378
2019-01-01T00:27:44.569000Z, 45378
2019-01-01T00:29:24.569000Z, 45362
2019-01-01T00:31:04.569000Z, 45362
2019-01-01T00:32:44.569000Z, 45346
2019-01-01T00:34:24.569000Z, 45342
2019-01-01T00:36:04.569000Z, 45330
2019-01-01T00:37:44.569000Z, 45324
2019-01-01T00:39:24.569000Z, 45314
2019-01-01T00:41:04.569000Z, 45306
2019-01-01T00:42:44.569000Z, 45298
2019-01-01T00:44:24.569000Z, 45295
2019-01-01T00:46:04.569000Z, 45282
2019-01-01T00:47:44.569000Z, 45278
2019-01-01T00:49:24.569000Z, 45267
2019-01-01T00:51:04.569000Z, 45266
2019-01-01T00:52:44.569000Z, 45251
2019-01-01T00:54:24.569000Z, 45249
2019-01-01T00:56:04.569000Z, 45234
2019-01-01T00:57:44.569000Z, 45233
2019-01-01T00:59:24.569000Z, 45219
2019-01-01T01:01:04.569000Z, 45207
2019-01-01T01:02:44.569000Z, 45202
2019-01-01T01:04:24.569000Z, 45189
2019-01-01T01:06:04.569000Z, 45185
2019-01-01T01:07:44.569000Z, 45171
2019-01-01T01:09:24.569000Z, 45169
2019-01-01T01:11:04.569000Z, 45154
2019-01-01T01:12:44.569000Z, 45148
2019-01-01T01:14:24.569000Z, 45138
2019-01-01T01:16:04.569000Z, 45122
2019-01-01T01:17:44.569000Z, 45121
2019-01-01T01:19:24.569000Z, 45106
2019-01-01T01:21:04.569000Z, 45091
2019-01-01T01:22:44.569000Z, 45089
2019-01-01T01:24:24.569000Z, 45074
2019-01-01T01:26:04.569000Z, 45069
2019-01-01T01:27:44.569000Z, 45057
2019-01-01T01:29:24.569000Z, 45042
2019-01-01T01:31:04.569000Z, 45036
2019-01-01T01:32:44.569000Z, 45026
2019-01-01T01:34:24.569000Z, 45010
2019-01-01T01:36:04.569000Z, 45009
2019-01-01T01:37:44.569000Z, 44995
2019-01-01T01:39:24.569000Z, 44979
2019-01-01T01:41:04.569000Z, 44977
2019-01-01T01:42:44.569000Z, 44962
2019-01-01T01:44:24.569000Z, 44946
2019-01-01T01:46:04.569000Z, 44946
2019-01-01T01:47:44.569000Z, 44930
2019-01-01T01:49:24.569000Z, 44914
2019-01-01T01:51:04.569000Z, 44913
2019-01-01T01:52:44.569000Z, 44898
2019-01-01T01:54:24.569000Z, 44883
2019-01-01T01:56:04.569000Z, 44867
2019-01-01T01:57:44.569000Z, 44865
2019-01-01T01:59:24.569000Z, 44849
2019-01-01T02:01:04.569000Z, 44834
2019-01-01T02:02:44.569000Z, 44833
2019-01-01T02:04:24.569000Z, 44818
2019-01-01T02:06:04.569000Z, 44802
2019-01-01T02:07:44.569000Z, 44800
2019-01-01T02:09:24.569000Z, 44786
2019-01-01T02:11:04.569000Z, 44787
2019-01-01T02:12:44.569000Z, 44766
2019-01-01T02:14:24.569000Z, 44785
2019-01-01T02:16:04.569000Z, 44866
