# dataset: GeoCSV 2.0
# delimiter: ,
# SID: XB_ELYHK_43_UKC
# sample_count: 669
# sample_rate_hz: 0.01
# start_time: 2019-01-01T00:01:04.569000Z
# latitude_deg: 4.502384
# longitude_deg: 135.623447
# elevation_m: -2613.4
# depth_m: 0.9
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: HK-TEMP
# geodetic_datum: Mars 2000 planetocentric, MOLA geoid
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2019-01-01T00:01:04.569000Z, 44450
2019-01-01T00:02:44.569000Z, 44450
2019-01-01T00:04:24.569000Z, 44435
2019-01-01T00:06:04.569000Z, 44427
2019-01-01T00:07:44.569000Z, 44419
2019-01-01T00:09:24.569000Z, 44416
2019-01-01T00:11:04.569000Z, 44403
2019-01-01T00:12:44.569000Z, 44401
2019-01-01T00:14:24.569000Z, 44386
2019-01-01T00:16:04.569000Z, 44386
2019-01-01T00:17:44.569000Z, 44370
2019-01-01T00:19:24.569000Z, 44369
2019-01-01T00:21:04.569000Z, 44355
2019-01-01T00:22:44.569000Z, 44354
2019-01-01T00:24:24.569000Z, 44338
2019-01-01T00:26:04.569000Z, 44337
2019-01-01T00:27:44.569000Z, 44323
2019-01-01T00:29:24.569000Z, 44321
2019-01-01T00:31:04.569000Z, 44307
2019-01-01T00:32:44.569000Z, 44305
2019-01-01T00:34:24.569000Z, 44291
2019-01-01T00:36:04.569000Z, 44284
2019-01-01T00:37:44.569000Z, 44275
2019-01-01T00:39:24.569000Z, 44259
2019-01-01T00:41:04.569000Z, 44258
2019-01-01T00:42:44.569000Z, 44242
2019-01-01T00:44:24.569000Z, 44241
2019-01-01T00:46:04.569000Z, 44226
2019-01-01T00:47:44.569000Z, 44225
2019-01-01T00:49:24.569000Z, 44211
2019-01-01T00:51:04.569000Z, 44206
2019-01-01T00:52:44.569000Z, 44195
2019-01-01T00:54:24.569000Z, 44183
2019-01-01T00:56:04.569000Z, 44177
2019-01-01T00:57:44.569000Z, 44162
2019-01-01T00:59:24.569000Z, 44162
2019-01-01T01:01:04.569000Z, 44146
2019-01-01T01:02:44.569000Z, 44145
2019-01-01T01:04:24.569000Z, 44131
2019-01-01T01:06:04.569000Z, 44127
2019-01-01T01:07:44.569000Z, 44114
2019-01-01T01:09:24.569000Z, 44098
2019-01-01T01:11:04.569000Z, 44097
2019-01-01T01:12:44.569000Z, 44082
2019-01-01T01:14:24.569000Z, 44079
2019-01-01T01:16:04.569000Z, 44065
2019-01-01T01:17:44.569000Z, 44050
2019-01-01T01:19:24.569000Z, 44049
2019-01-01T01:21:04.569000Z, 44034
2019-01-01T01:22:44.569000Z, 44028
2019-01-01T01:24:24.569000Z, 44017
2019-01-01T01:26:04.569000Z, 44002
